country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Denmark,torben,Fragsters,91,2402,-369,0.77,0.8
Finland,xartE,ENCE,133,3540,-547,0.78,0.8
Russia,balblna,Quantum Bellator Fire,53,1412,-264,0.74,0.79
Ukraine,B1ad3,FlipSid3,377,9791,-1777,0.75,0.79
Denmark,HooXi,G2,442,11486,-1986,0.75,0.79
Denmark,HUNDEN,Tricked,215,5797,-1058,0.74,0.77
Brazil,zews,Immortals,105,2728,-546,0.72,0.76
China,advent,VG.CyberZen,184,4779,-1009,0.7,0.74
United States,valens,Complexity,53,1457,-341,0.67,0.72
Poland,Loord,CSGL,50,1328,-334,0.64,0.68
